"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2016","Both sexes","46 years","Cork City and Cork County","Number","7776"
"Population","2016","Both sexes","46 years","Clare","Number","1805"
"Population","2016","Both sexes","46 years","Cavan","Number","1103"
"Population","2016","Both sexes","46 years","Carlow","Number","796"
"Population","2016","Both sexes","46 years","Dublin City","Number","7072"
"Population","2016","Both sexes","46 years","Donegal","Number","2308"
"Population","2016","Both sexes","46 years","Dún Laoghaire-Rathdown","Number","2918"
"Population","2016","Both sexes","46 years","Fingal","Number","4188"
"Population","2016","Both sexes","46 years","Galway City","Number","895"
"Population","2016","Both sexes","46 years","Galway County","Number","2705"
"Population","2016","Both sexes","46 years","Kildare","Number","3336"
"Population","2016","Both sexes","46 years","Kilkenny","Number","1387"
"Population","2016","Both sexes","46 years","Kerry","Number","2183"
"Population","2016","Both sexes","46 years","Longford","Number","558"
"Population","2016","Both sexes","46 years","Louth","Number","1921"
"Population","2016","Both sexes","46 years","Limerick City and County","Number","2701"
"Population","2016","Both sexes","46 years","Leitrim","Number","469"
"Population","2016","Both sexes","46 years","Laois","Number","1259"
"Population","2016","Both sexes","46 years","Meath","Number","3077"
"Population","2016","Both sexes","46 years","Monaghan","Number","872"
"Population","2016","Both sexes","46 years","Mayo","Number","1808"
"Population","2016","Both sexes","46 years","Offaly","Number","1060"
"Population","2016","Both sexes","46 years","Roscommon","Number","879"
"Population","2016","Both sexes","46 years","South Dublin","Number","3721"
"Population","2016","Both sexes","46 years","Sligo","Number","891"
"Population","2016","Both sexes","46 years","Tipperary","Number","2269"
"Population","2016","Both sexes","46 years","Waterford City and County","Number","1655"
"Population","2016","Both sexes","46 years","Westmeath","Number","1283"
"Population","2016","Both sexes","46 years","Wicklow","Number","2126"
"Population","2016","Both sexes","46 years","Wexford","Number","2187"
"Population","2016","Both sexes","47 years","State","Number","63640"
"Population","2016","Both sexes","47 years","Cork City and Cork County","Number","7190"
"Population","2016","Both sexes","47 years","Clare","Number","1739"
"Population","2016","Both sexes","47 years","Cavan","Number","1011"
"Population","2016","Both sexes","47 years","Carlow","Number","746"
"Population","2016","Both sexes","47 years","Dublin City","Number","6585"
"Population","2016","Both sexes","47 years","Donegal","Number","2276"
"Population","2016","Both sexes","47 years","Dún Laoghaire-Rathdown","Number","2798"
"Population","2016","Both sexes","47 years","Fingal","Number","3978"
"Population","2016","Both sexes","47 years","Galway City","Number","814"
"Population","2016","Both sexes","47 years","Galway County","Number","2580"
"Population","2016","Both sexes","47 years","Kildare","Number","3194"
"Population","2016","Both sexes","47 years","Kilkenny","Number","1416"
"Population","2016","Both sexes","47 years","Kerry","Number","2041"
"Population","2016","Both sexes","47 years","Longford","Number","552"
"Population","2016","Both sexes","47 years","Louth","Number","1806"
"Population","2016","Both sexes","47 years","Limerick City and County","Number","2454"
"Population","2016","Both sexes","47 years","Leitrim","Number","404"
"Population","2016","Both sexes","47 years","Laois","Number","1138"
"Population","2016","Both sexes","47 years","Meath","Number","2804"
"Population","2016","Both sexes","47 years","Monaghan","Number","809"
"Population","2016","Both sexes","47 years","Mayo","Number","1803"
"Population","2016","Both sexes","47 years","Offaly","Number","1065"
"Population","2016","Both sexes","47 years","Roscommon","Number","902"
"Population","2016","Both sexes","47 years","South Dublin","Number","3441"
"Population","2016","Both sexes","47 years","Sligo","Number","840"
"Population","2016","Both sexes","47 years","Tipperary","Number","2197"
"Population","2016","Both sexes","47 years","Waterford City and County","Number","1648"
"Population","2016","Both sexes","47 years","Westmeath","Number","1257"
"Population","2016","Both sexes","47 years","Wicklow","Number","2012"
"Population","2016","Both sexes","47 years","Wexford","Number","2140"
"Population","2016","Both sexes","48 years","State","Number","62946"
"Population","2016","Both sexes","48 years","Cork City and Cork County","Number","7194"
"Population","2016","Both sexes","48 years","Clare","Number","1696"
"Population","2016","Both sexes","48 years","Cavan","Number","1059"
"Population","2016","Both sexes","48 years","Carlow","Number","746"
"Population","2016","Both sexes","48 years","Dublin City","Number","6555"
"Population","2016","Both sexes","48 years","Donegal","Number","2202"
"Population","2016","Both sexes","48 years","Dún Laoghaire-Rathdown","Number","2774"
"Population","2016","Both sexes","48 years","Fingal","Number","3794"
"Population","2016","Both sexes","48 years","Galway City","Number","817"
"Population","2016","Both sexes","48 years","Galway County","Number","2626"
"Population","2016","Both sexes","48 years","Kildare","Number","3163"
"Population","2016","Both sexes","48 years","Kilkenny","Number","1307"
"Population","2016","Both sexes","48 years","Kerry","Number","2040"
"Population","2016","Both sexes","48 years","Longford","Number","565"
"Population","2016","Both sexes","48 years","Louth","Number","1783"
"Population","2016","Both sexes","48 years","Limerick City and County","Number","2512"
"Population","2016","Both sexes","48 years","Leitrim","Number","448"
"Population","2016","Both sexes","48 years","Laois","Number","1153"
"Population","2016","Both sexes","48 years","Meath","Number","2836"
"Population","2016","Both sexes","48 years","Monaghan","Number","829"
"Population","2016","Both sexes","48 years","Mayo","Number","1742"
"Population","2016","Both sexes","48 years","Offaly","Number","1096"
"Population","2016","Both sexes","48 years","Roscommon","Number","844"
"Population","2016","Both sexes","48 years","South Dublin","Number","3352"
"Population","2016","Both sexes","48 years","Sligo","Number","870"
"Population","2016","Both sexes","48 years","Tipperary","Number","2217"
"Population","2016","Both sexes","48 years","Waterford City and County","Number","1502"
"Population","2016","Both sexes","48 years","Westmeath","Number","1223"
"Population","2016","Both sexes","48 years","Wicklow","Number","1928"
"Population","2016","Both sexes","48 years","Wexford","Number","2073"
"Population","2016","Both sexes","49 years","State","Number","61859"
"Population","2016","Both sexes","49 years","Cork City and Cork County","Number","7126"
"Population","2016","Both sexes","49 years","Clare","Number","1703"
"Population","2016","Both sexes","49 years","Cavan","Number","1019"
"Population","2016","Both sexes","49 years","Carlow","Number","777"
"Population","2016","Both sexes","49 years","Dublin City","Number","6162"
"Population","2016","Both sexes","49 years","Donegal","Number","2154"
"Population","2016","Both sexes","49 years","Dún Laoghaire-Rathdown","Number","2819"
"Population","2016","Both sexes","49 years","Fingal","Number","3693"
"Population","2016","Both sexes","49 years","Galway City","Number","818"
"Population","2016","Both sexes","49 years","Galway County","Number","2544"
"Population","2016","Both sexes","49 years","Kildare","Number","3001"
"Population","2016","Both sexes","49 years","Kilkenny","Number","1348"
"Population","2016","Both sexes","49 years","Kerry","Number","1982"
"Population","2016","Both sexes","49 years","Longford","Number","546"
"Population","2016","Both sexes","49 years","Louth","Number","1692"
"Population","2016","Both sexes","49 years","Limerick City and County","Number","2481"
"Population","2016","Both sexes","49 years","Leitrim","Number","428"
"Population","2016","Both sexes","49 years","Laois","Number","1103"
"Population","2016","Both sexes","49 years","Meath","Number","2658"
"Population","2016","Both sexes","49 years","Monaghan","Number","801"
"Population","2016","Both sexes","49 years","Mayo","Number","1754"
"Population","2016","Both sexes","49 years","Offaly","Number","1005"
"Population","2016","Both sexes","49 years","Roscommon","Number","920"
"Population","2016","Both sexes","49 years","South Dublin","Number","3335"
"Population","2016","Both sexes","49 years","Sligo","Number","846"
"Population","2016","Both sexes","49 years","Tipperary","Number","2227"
"Population","2016","Both sexes","49 years","Waterford City and County","Number","1666"
"Population","2016","Both sexes","49 years","Westmeath","Number","1185"
"Population","2016","Both sexes","49 years","Wicklow","Number","1977"
"Population","2016","Both sexes","49 years","Wexford","Number","2089"
"Population","2016","Both sexes","50 years","State","Number","61988"
"Population","2016","Both sexes","50 years","Cork City and Cork County","Number","7291"
"Population","2016","Both sexes","50 years","Clare","Number","1726"
"Population","2016","Both sexes","50 years","Cavan","Number","1030"
"Population","2016","Both sexes","50 years","Carlow","Number","755"
"Population","2016","Both sexes","50 years","Dublin City","Number","6635"
"Population","2016","Both sexes","50 years","Donegal","Number","2147"
"Population","2016","Both sexes","50 years","Dún Laoghaire-Rathdown","Number","2766"
"Population","2016","Both sexes","50 years","Fingal","Number","3480"
"Population","2016","Both sexes","50 years","Galway City","Number","822"
"Population","2016","Both sexes","50 years","Galway County","Number","2458"
"Population","2016","Both sexes","50 years","Kildare","Number","3009"
"Population","2016","Both sexes","50 years","Kilkenny","Number","1327"
"Population","2016","Both sexes","50 years","Kerry","Number","2088"
"Population","2016","Both sexes","50 years","Longford","Number","510"
"Population","2016","Both sexes","50 years","Louth","Number","1748"
"Population","2016","Both sexes","50 years","Limerick City and County","Number","2390"
"Population","2016","Both sexes","50 years","Leitrim","Number","443"
"Population","2016","Both sexes","50 years","Laois","Number","1115"
"Population","2016","Both sexes","50 years","Meath","Number","2685"
"Population","2016","Both sexes","50 years","Monaghan","Number","787"
